2022-02-31	It's my thing	shapesandcolours	Selectively sharpened senses	I can't tell the difference between right and wrong, yet	I can't tell the difference \n between shapes and colours	yet I recognise every cow \n I've ever met in my life	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-03-15	Metaphors are such a good way to express yourself	themire	You know how it feels	my english teacher would be proud	I am wading \n through the mire	of happiness \n and good feelings	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-03-17	A horse for all things	ecclesiastes	A horse for all things	That's how it goes	ashes to ashes	horse to horse	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-03-18	Is it with an H	spell	H for howdy	H for happy	Horse	how do you \n spell that	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-03-20	The rest is homework	venn	cow boy	visualise it, visualise success	A venn diagram.	Me in the middle	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-03-21	No more lies	ahorse	face it and be free	look right at it	Drag it out into the light \n and see it for what it is	a horse	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-03-22	the word is happy	happy	horse	horse	A five letter word	that begins with h	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-03-23	Bad idea	cigarrette	Probably does	Is my horse cool	puff puff puff \n puff puff	I wonder if my horse \n wants a cigarrette	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-03-24	Frames of reference	chess	It's called the horse	It's called the horse	What's that piece in chess \n that moves in an L shape	The one that looks \n like a little cowboy	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-03-25	It's lost all meaning	howdy	h o w d y	Semantic satiation	howdy howdy howdy howdy \n howdy howdy howdy	I said it too many times	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-03-27	Too loud to hear	hat	where the hell is my hat	check your pockets		Where's my hat???	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-03-29	I could eat a cowboy	hungry	Some things we don't say, for the sake of our friends	so hungry	I'm hungry	I wish I had a handy cliche \n to explain how hungry I am	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-03-30	The Minotaur speaks to Minos	minos	call me	putting the 'idea' in 'idea for a joke'	Go on then \n call me a cowboy	after all, \n it's what I am	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-03-31	That's why you should hire me	fingerprints	A question you never think to ask	they spell 'cowboy'	My hands are \n a normal size	and my fingerprints \n don't spell anything \n meaningful	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-04-04	measured by the bootful	prescription	cowboy health	with water	renewed my \n prescription at the \n cowboy pharmacy	yee-haw, \n twice a day	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-04-05	never ever do this	fauxpax	never do this	took my cowboy out back	took my horse to the \n cowboy hospital	extremely \n embarassing	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-04-06	Doctor I can't, this horse is my son	transplant	They revoked his license	It's exactly what it sounds like	I used to be a \n cowboy surgeon	I performed the first \n successful horse \n transplant	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-04-07	I don't know how I caught it	syndrome	hard as hell	It's propaganda	I've got cowboy syndrome	Told'em just dig the grave - \n I'll ride my horse into it	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-04-09	Universal cowboy donor	blood	They can test for that now, and you should get tested.	It's good to know for sure	got the blood test \n back today	turns out \n I'm a cowboy	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-04-11	I lay down the law	golf	Not too drastic	I promise	If I see even one \n golf ball in this desert \n its pistols at dawn	If I see a single golf ball \n I'm eating it	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-04-12	big words for a ball	biggame	that doesn't make any sense	shakespeare said this	everyone's asking me - \n did you see the big game? \n partner, the big game is life	and I am the ball	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-04-13	This happened in the olympics	beat	what better cause?	they called it 'awesome'	my horse beat me to \n an inch of my life	in the name \n of sport	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-04-15	the horse knows the rules	coach	the horse knows the rules	touchdown, your honour	come on coach \n put me in	the horse won't \n get in the way	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-04-16	I'll do it for a laugh	match	Don't bet on this horse	I'm tired of being a winner	Cowboy \n semi-finals tomorrow	I might throw \n the match	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-04-18	A hero's death	sun	There's no other way	164 year journey of a lifetime	I'll end my scene \n like any great cowboy	I'll ride my horse \n into the sun	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-04-19	TS Eliot - The Cow Boys	eliot	We are the cow boys, the cattle boys, boots filled with snakes	Between the cowboy and the horse falls the shadow	This is the way \n the bronco bucks	not with a toot \n but a yee haw	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-04-20	One of a team of four	horsemen	Some of this message may be hard to interpret	Niche audience for this one	I've got a wee \n cashy coming up	Gonna ride around on a \n red horse with a great sword, \n taking peace from the Earth	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-04-21	100 boots to midnight	clock	Measuring the yee in my haw	This is not a horse of honor, no highly esteemed steed rides here	I'm being observed \n by a group of scientists	Tonight they will meet \n and decide whether to move \n the hands of the cowboy clock	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-04-23	there is a cowboy yet to come	rumours	Not the voice in the desert you expected	the rumours are redundant	you will hear of cowboys, \n and rumours of cowboys	don't panic	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-04-24	Don't let that stop you though	imagine	categorically untrue statement	Ursula K LeGuin wishes she said this	It's easier to imagine \n the end of the world	than it is to imagine \n a cowboy with a cool hat	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-04-26	But never enough for my horse	too	too much and not enough	other than the sum of it's parts	I exist between \n two worlds	too boy for cows, \n too cow for boys	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-04-27	a howdy to those who holler	shape	Describe it to me	goofy as all hell	the space between \n the hootin ideal and \n the hollerin real	the shape of \n a horse	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-04-30	Awoken from uneasy dreams	wakeup	Has this ever happened to you	Sheriff Samsor	I went to sleep \n feverish and wild	I woke up \n a cowboy	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-05-02	Not my horse though	evenme	check your pockets	time for a blood test	Cowboys are all around us, \n they look like you and me	That's right, even I \n might be a cowboy	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-05-09	Now you know	history	Most of them made up by me	Clint Eastwood, he never existed	Cowboy history is \n rich and filled with \n great legends	most of them \n are made up	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-05-10	I wonder what my horse thinks	breeze	I'm a menace	Repeating this in the mirror	I'm a fresh breeze	I'm a welcome surprise	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-05-11	Didn't get his article into The High Horse	academicstandards	and yet, I can still wear 'em	academia, it gets into everything	10 gallon cowboy research \n into hats is beset by	absolutely appalling \n academic standards	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-05-14	Like an quiet internal yee haw	clown	Don't see a doctor	It's good to feel funny	I feel funny	like a cowboy clown	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-05-17	I bet he's handsome and cool though	maniac	A voice in the desert hollerin	Maybe if I act like a maniac they'll feel more comfortable	They say there's a maniac \n riding around the desert \n on a horse	I've been hollerin all day \n haven't seen a soul	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-05-19	You can go your whole life and not know	sunrise	I hope it does it again	No one talks about it	I woke up early this morning \n and saw the sun rise	I didn't realise \n it did that	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-05-21	If this then that	happyhome	Sometimes its nice to make a silly one	I shudder to think of the inverse	a happy horse	a happy home	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-05-22	strings pulled by big horse	horseprice	textbook inflation	the raw cost of elemental horse, preprocessing etc	the price of horse \n is going up	something about hooves. \n I don't know	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-05-23	Resolutions: Make em and break em	resolutions	determined to try again	home's always there to leave	yee haw I'm not \n coming home	howdy, there's \n always tomorrow	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-05-25	clip clop across the sky	possibilities	No, your cowboy eyes	now close them partner	open your cowboy eyes	to the horse possibilities	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-05-29	It just happened	badhowdy	no longer welcome at the saloon	howdy	I threw a bad howdy \n behind the bar	not sure why	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-05-31	This cowboy is an extension of his fancy boots	extension	No one needs to know that much about a horse	horse school was awesome	The horse is an \n extension of the cowboy	that was my \n PHD dissertation	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-06-01	with his mind	rodeo	Like a rubix cube	flip flop flap	last year's \n rodeo champion \n was insane	he rotated the bull \n through 4 axis	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-06-02	Ask cowboy questions, get cowboy answers	corral	transfer problems into cowspace to solve them	I've solved a load of problems this way	I do most of my thinking \n through cows	I arrange them into different \n shapes in the corral	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-06-04	with one joke	quaternary	Imagine what we can do with 2 panels	like mine crypto	We can do amazing things \n in binary, with 1's and 0's	Imagine what we can do \n with 4 hooves	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-06-05	Things are going extremely well	horseproblems	This is what I mean by extended cognition	tell your woes to the horse	I bring my problems \n to the desert	I let the horse \n deal with them	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-06-06	two truths exist simultaneously	breakfast	you learn this in primary school	guess who had breakfast this morning	breakfast is the most \n important meal of the day	I am the most important \n cowboy in the desert	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
